Text,Date,Cheerfullness,Negativity,Anger,Analytical,Confident,Tentative,Openness,Conscientiousness,Agreeableness,Sent. Type,Sent. Score
"Phil Gilbert, Jr. gooduck with your class. It was great hanging out Saturday!",4/20/09 8:26,0,0,0,0.015714286,0,0,-0.066153846,-0.005384615,0.081538462,0.720454,positive
"Lombardi Driven Online live from Austin, Prague & London today!",4/20/09 15:29,0,0,0,0,0,0,-0.124444444,0.01,0.077777778,0.682822,positive
Fernando Ribeiro  Hello Fernando... Lombardi Blueprint twitters... Updates on all types of BPM matters... Cheers!,4/23/09 7:31,0,0,0,0,0.052631579,0,-0.004,-0.000666667,0.026666667,0.573876,positive
Nap? Check. Coffee? Check. 9pm start for dinner?  Ugh. BPM is not for the faint of heart!,4/23/09 18:08,0,0.01137931,0,0,0,0,-0.042941176,-0.01,0.023529412,-0.805144,negative
"Lisbon is great but I wish someone would turn down the radio. BPM means beats per minute, and right now I'm hearing about 110 too many...",4/24/09 1:19,0,0,0,0.019411765,0,0.009705882,-0.138846154,-0.044230769,0.081153846,-0.06307,negative
2day in Lisbon BES is doing both by increasing transparency of actions thru BPM. BPM=transparency. They're a BPM leader.,4/24/09 8:18,0,0,0,0,0,0,-0.0105,0.0045,0.0355,0.28637,positive
Austin.  Went to see the Westlake High Zenith crew. The show looks to be a great one!,4/25/09 0:21,0,0,0,0.01137931,0,0,-0.05,-0.002941176,0.061176471,0.623387,positive
"Tonight, Austin is East LA. Los Lobos at One World Theater.  Just a band...",4/26/09 0:09,0,0,0,0,0,0.012692308,-0.048571429,-0.002142857,0.064285714,-0.423998,negative
Los Lobos concert being filmed for Fox TV... Live from One World... Lots of excitement 'round here. Gotta love Austin.,4/26/09 0:15,0.035357143,0,0,0,0,0,-0.0855,-0.0055,0.109,0.264909,positive
"Rosas to Hidalgo:  ""Let's play the blues.  And let's do it right.""",4/26/09 1:32,0,0,0,0,0,0,0.085,0,0,0,neutral
Blurg. Ended with La Bamba. I guess the Babbits are happy...,4/26/09 1:41,0.028695652,0,0,0,0,0.014347826,-0.093636364,-0.010909091,0.071818182,0.406737,positive
Helicopter across St. Lucia... Better than the 2 hour van ride! #lswclub2009,4/27/09 20:13,0.0165,0,0,0.0165,0,0,-0.025833333,0.013333333,0.0475,0.289223,positive
Sales club day 2... Awards dinner tonight on the beach... and notice of a special customer win from the States late yesterday to boot.,4/28/09 22:32,0.058928571,0,0,0,0,0,-0.05,0.055,0.08625,0.85144,positive
"Phil Gilbert, Jr. swine swine swine spo-dee-o-dee, pass that bottle to me! (w/ apologies to jerry lee, wynonie Harris, hank 3 and all the rest)",4/28/09 22:38,0,0,0,0.01137931,0.034482759,0,-0.0052,-0.0068,0.0244,-0.325096,negative
The birds in St. Lucia Twitter endlessly. I wonder if they're also just telling each other what they had for breakfast.,4/29/09 11:39,0,0,0,0.01137931,0,0.022758621,-0.097619048,-0.037619048,0.078571429,0.248198,positive
Survived zip lining. And it was way more treachorous than what Mer and Jess did in Panama! 6 or 7 thousand feet in the air. I think.,4/29/09 17:48,0.007674419,0,0,0.023023256,0,0.007674419,-0.043703704,-0.026666667,0.070740741,-0.218886,negative
Leah Pope yes he is loving the birds... No camera sighting though. He is asking about the vinturi though...,4/29/09 17:50,0.010645161,0,0,0,0,0,-0.088421053,-0.021052632,0.062105263,0.172397,positive
Derby favorite out.  This swine flu is ruining EVERYTHING!,5/2/09 19:04,0.019411765,0.019411765,0,0.019411765,0,0,-0.106666667,-0.037777778,0.104444444,-0.126619,negative
"twinfluence  04/30/09 twinfluence.com score for Phil Gilbert  Rank=#44,042 / YEAH BABY!  I'm pretty sure even Adam Ant is 44,043!!!",5/2/09 19:12,0.009166667,0,0,0,0.027777778,0.018333333,-0.082083333,-0.025833333,0.052916667,0.483455,positive
CNN com says 'Some couples donning masks when they kiss to avoid contagion'... could it just be your SO is ugly?,5/2/09 19:30,0.0132,0.0264,0.047619048,0,0,0.0396,-0.135238095,-0.058571429,0.054285714,-0.823499,negative
"Derby picks: Mine That Bird to win, Atomic Storm place, Summer Bird to show!  You can take it to the bank!",5/2/09 20:55,0.0495,0,0,0,0,0,-0.186666667,-0.01625,0.155,0,neutral
YES!!!!  MINE THAT BIRD!!!!,5/2/09 22:33,0,0,0,0.04125,0,0,-0.1675,-0.0625,0.0475,0.267319,positive
Aznavour. 30 minutes. Legend.,5/2/09 23:32,0,0,0,0,0,0,-0.075,0.0225,0.0575,0.487047,positive
Dave Marquard and then bankruptcy. Depression. Suicide. You're one if the lucky ones.,5/2/09 23:36,0.01137931,0.022758621,0,0,0,0.01137931,-0.08,-0.043846154,0.045384615,-0.279067,negative
"Dave Marquard ""of"" the lucky ones. Sometimes I hate typing on the iphone from a taxi after 4 mint juleps.",5/2/09 23:39,0.011785714,0.011785714,0.05,0,0,0.023571429,-0.0305,-0.0015,0.0305,-0.182071,negative
Aznavour perfect. W/ James Lipton backstage.,5/3/09 2:10,0.023571429,0,0,0,0,0,-0.045,0.023333333,0.03,0.481847,positive
"Aznavour exceeds expectations with top-notch band/arrangements, performance skills.  A joy to see a craftsman in a world full of lazy hacks.",5/3/09 2:42,0.022,0,0,0.011,0,0,0.006818182,-0.018181818,0.051363636,0.716337,positive
ET John Hodgman Happy Birthday: Pete Seeger!,5/3/09 13:07,0.06,0,0,0,0,0,-0.054285714,0,0.045714286,0.815334,positive
Star trek with products group.  Opening scene excellent!,5/8/09 16:26,0.04125,0,0,0,0,0,-0.01625,0.0375,0.08,0.659423,positive
"Kirk: ""Who is that pointy-eared bastard?"". Star Trek pitch perfect.",5/8/09 18:20,0.018333333,0.018333333,0.1,0.018333333,0,0,-0.069,-0.053,-0.028,0.320286,positive
Dave Marquard Spock's mom was Madea?,5/9/09 2:31,0,0,0,0,0,0,-0.078333333,0,0.07,-0.865158,negative
"GeorgeStephanopoulos Politically, can we ever reduce the 'threat level' below Orange, or are we now in a state of forever-fear?",5/9/09 2:34,0,0,0,0.01375,0,0.01375,-0.0705,0.0005,0.1015,-0.660327,negative
"GeorgeStephanopoulos btw, that was a question for Gen. Jones",5/9/09 2:50,0,0,0,0.050769231,0,0,-0.02,-0.02,0.025555556,0.365231,positive
Blown away by the work that's been done at the old Mueller airport in Austin. Great community planning.,5/9/09 17:05,0,0,0,0.012692308,0,0,0.013333333,0.007777778,0.027777778,0.26204,positive
Bike crash!  Details at 10. Norhing a Mersault can't cure...,5/10/09 18:25,0,0,0,0,0,0,3.47E-18,-0.008,0.011,-0.214229,negative
PR News Lombardi's Spring '09 Blueprint Release Puts BPM On Every Desktop,5/12/09 16:32,0,0,0,0,0,0,-0.0325,0.015,0.041666667,0.804165,positive
"Look, if the airlines are going to lose buckets of money anyway, why not kill the hub and spoke system and fly us direct?  #DFWHater",5/12/09 22:39,0,0,0.04,0,0,0,-0.074,-0.0568,0.0292,-0.229671,negative
"Thank you, American, for calling me at 5:48 to tell me that my 5:45 flight was going to be delayed to 6:12.",5/12/09 22:51,0.01137931,0,0,0.01137931,0,0.01137931,-0.1456,-0.0284,0.092,-0.359416,negative
Please Lord if I die on the road fly me home in a proper plane. Don't let my last ride be an Embraer CRJ. Something I can stretch out in.,5/12/09 23:11,0,0,0,0.01137931,0,0.01137931,-0.093,-0.011333333,0.071,-0.481376,negative
Richard Veryard that's crazy talk. I live in Texas where the Railroad Commission only deals in oil and  trains are only to be sung about.,5/12/09 23:14,0.01,0.01,0,0.01,0,0,-0.0476,-0.0188,0.0468,-0.378365,negative
What do you know? A blog post.,5/13/09 4:28,0,0,0,0.022,0,0,-0.13,-0.018571429,0.055714286,0.573134,positive
"Listening to eWEEK podcast w/ Lombardi prez Phil Gilbert - ""Tying IT to the Business Process""  -via",5/13/09 16:34,0.025384615,0,0,0,0.076923077,0,-0.073333333,-0.024444444,0.034444444,0,neutral
Flash from Yesterday's Airport Of Tomorrow (the 'Burgh):  delays... and a shirtsplash of red sauce from that last Sbarra meatball,5/13/09 18:49,0,0,0,0.01375,0,0.01375,0.014,0.009,0.032,-0.628986,negative
Is a 45 minute bike ride on a Friday worth a cigar and a duvel?  Sure seems like it should be.,5/15/09 23:39,0.034137931,0,0,0,0.034482759,0.022758621,-0.07952381,-0.002380952,0.067142857,0.663637,positive
Kate Gilbert clearly the GG episode you speak of is when Rory jumps off scaffolding holding only an umbrella. Am I right?,5/15/09 23:41,0,0,0,0.011,0.033333333,0.011,-0.085454545,-0.019090909,0.054545455,0.107045,positive
"Phil Gilbert, Jr. they might just be taking pictures if the only working shoeshine on a Sunday morning!",5/17/09 15:15,0,0.011785714,0,0.011785714,0,0,-0.0125,-0.004375,0.008125,0,neutral
"Phil Gilbert, Jr. ""of the only working...""",5/17/09 15:15,0,0,0,0,0,0,0.052857143,0.032857143,0,-0.460933,negative
"Phil Gilbert, Jr. Give the pilot a cup of coffee and some no-doze",5/17/09 15:38,0.022,0.022,0,0,0,0,-0.000454545,0.007272727,0.008636364,0,neutral
Dave Marquard thank god the son's political career is saved.,5/18/09 21:22,0.023571429,0,0,0,0,0,-0.07,0.009,0.05,0.764381,positive
"Man in 10F reading Field & Stream!  Dude, where's your Meerschaum?",5/19/09 0:26,0,0,0,0,0,0,-0.103,-0.033,0.095,0.0541216,positive
Albuquerque baseball team called the Isotopes!  I love it.,5/20/09 21:47,0.038823529,0,0,0,0,0,-0.272222222,-0.014444444,0.161111111,0.642082,positive
"How come every time I see a commuter pilot yawn I start sweating, these days?",5/20/09 21:47,0,0,0,0.034736842,0,0,-0.156666667,-0.005333333,0.048,-0.836174,negative
I refuse to recognize ATX for AUS. The Twitter has apparently decided Texas is 50% more important than Austin. That's way wrong...,5/20/09 22:00,0,0.009705882,0,0.038823529,0,0.009705882,-0.050454545,-0.033636364,0.012727273,-0.692899,negative
re Isotope/Simpson connection.  That is excellent... Thats puttimg some quirk into Albequerque.,5/21/09 0:58,0.031428571,0,0,0.015714286,0,0.015714286,-0.011538462,0.003076923,0.039230769,0.198302,positive
"Pet peeve:  people who get on planes with bags too big, or who are physically unable to get their bags in the overhead. Check your bag!",5/21/09 20:51,0,0,0,0,0,0,-0.048076923,-0.007692308,0.078076923,0.123233,positive
Wanting to see a Simpsons episode where they are on a commercial flight. Keep asking myself: what would Bart do?,5/21/09 20:58,0.009705882,0,0,0,0,0,-0.032727273,0.004090909,0.032272727,0,neutral
From space you can't see a human being. But from seat 8D the variability in size seems gargantuan. Probably even moreso from 8E I guess...,5/21/09 21:02,0,0,0,0.0132,0,0.0528,-0.0636,-0.0492,0.0456,-0.12263,negative
"Just think, you could be driving to OKC with Kate today!  Jessica Gilbert",5/23/09 14:00,0,0,0,0,0,0,-0.017647059,0.003529412,0.031764706,0,neutral
gocartours looks awesome!  Kate Gilbert lisa &I are going to do them in OKC!  Surely okc has them...,5/23/09 16:24,0.025384615,0,0,0,0.038461538,0,-0.144444444,-0.011111111,0.096666667,-0.0881255,negative
"Preparing for Day 2 of ""3/4 Gilbert siblings take on SF"".  Today:  (via   Barcelona!",5/23/09 16:35,0,0,0,0,0,0,-0.064666667,0.018,0.065333333,-0.592677,negative
"Robertson's ham sandwiches.  OKC looms. Er, I mean ""yay, we're almost there!""",5/23/09 19:02,0,0,0,0.01375,0,0,-0.134166667,-0.013333333,0.083333333,0.116552,positive
"Awesome, grandpa grilling Kate on boyfriends.  ""still playing the field?""",5/23/09 22:18,0.036666667,0,0,0,0,0,-0.119,0.018,0.134,0.570617,positive
Big 12 baseball in OKC.  Left after Tech went up by 5...,5/24/09 3:11,0,0,0,0,0,0,-0.0675,0.015,0.12,-0.460628,negative
"Where did all the mini-bars go?  Thinking it was the rubes who denied taking the water to save the $3. OKC Marriott, bring them back!",5/24/09 21:41,0,0,0,0,0.052631579,0,-0.0616,0.0016,0.0608,-0.261993,negative
Beverly's! #1 eatery in OKC!,5/25/09 12:57,0,0,0,0,0,0,0.04,0,0.058,0.479642,positive
"Shirt in Rudy's Waco. ""Kicking ass is our business. Business is good.""",5/25/09 19:41,0.01375,0,0,0,0,0,-0.098333333,-0.011666667,0.081666667,0.0254872,positive
lswbootcamp,5/28/09 10:35,0.035357143,0,0,0,0,0,-0.089375,0.018125,0.079375,0,neutral
Twitter not just about breakfast any more.  Fascinating BPM updates too! Visit  to join,5/29/09 13:00,0,0,0,0,0,0,-0.01,-0.026428571,0.029285714,0.320758,positive
"Cigar and Chasing Harry Winston. Hilarious combination...  Thanks,",5/30/09 21:27,0.04125,0,0,0,0,0,-0.09,0,0.07875,0.440598,positive
DFW en route to Chennai and Bangalore (via LHR).  767s WAY too small a plane for this 10 hour leg.,6/8/09 0:01,0.055,0,0,0.055,0,0,-0.07,-0.060625,0.07625,0,neutral
"Woman singing Dylan's prettiest love song (make you feel my love).  Heard in starbucks, now on flight AA78. Who is this?  A good version.",6/8/09 9:24,0.0495,0,0,0,0,0,-0.186666667,-0.01625,0.155,0.3476,positive
And then Michael McDonald. Oh well 1 out of 2 ain't bad...,6/8/09 9:25,0,0,0,0,0,0,-0.089565217,-0.032173913,0.046521739,0,neutral
Chennai is here.  After some hotel confusion:  It is a question that haunts partyers and checkins:  is 4am last night? Or this morning?,6/8/09 23:36,0.009428571,0.018857143,0,0.028285714,0,0.028285714,-0.086521739,-0.024782609,0.068695652,-0.647722,negative
"Chennai, India:  wasn't expecting the oxcart in the middle of the toll road.",6/9/09 7:59,0.045,0.03,0,0,0,0.045,-0.032777778,-0.023333333,0.02,0,neutral
Chennai: Labor arbitrage no longer the game; need better business outcomes. Will India fare as well in a world with normalized labor costs?,6/10/09 3:53,0,0,0,0,0,0,-0.007826087,-0.007826087,0.026086957,0.231068,positive
James McGovern of maybe 2500 sales cycles I think 3 have even asked about xacml. Real-world usage must be nil. SAML is a different story.,6/10/09 22:16,0,0,0,0.008918919,0,0.017837838,-0.058,-0.0272,0.0256,0.306831,positive
"Tweeting of Security:Chennai airprt sign: no sword, no hand grenade, no hockey stick. No wonder the Chennai Snowmen never won a Stanley Cup.",6/10/09 22:26,0,0,0,0,0,0,-0.075416667,-0.02375,0.050416667,-0.324053,negative
Kate Gilbert  Have you been practicing your evil laugh?  Very short sighted if you're not practicing your laugh #drhorrible,6/11/09 2:42,0.050769231,0.025384615,0.052631579,0,0,0,-0.220526316,-0.051578947,0.114210526,-0.749338,negative
"DC Update:  Federal Enterprise Architecture finally realizing BPM, not SOA, saves warfighters' lives, improves civilian service.",6/18/09 0:12,0,0,0,0,0,0,-0.030625,-0.0075,0.020625,0.343241,positive
Happy Pappy's Day weekend... best gift so far:,6/20/09 16:56,0.11,0,0,0,0,0,-0.15,0.06,0.13125,0.88486,positive
"Want productivity?  CIOs should drive stickiness, and I don't mean SAP. More screen time may be better:",6/21/09 2:00,0.020625,0,0,0,0,0.020625,-0.128823529,-0.030588235,0.047647059,0.479893,positive
"Daughter Kate Gilbert at JoBro concert. Where did we go wrong?  Dr. Spock, you're a fraud!",6/21/09 2:03,0,0.011785714,0,0,0,0,-0.151875,-0.0125,0.115,-0.10222,negative
Art of Field Recording Vols 1 & 2 the most important American music CDs since Charley Patton box set 5 yrs ago,6/21/09 2:34,0,0,0,0.0132,0,0,-0.024285714,-0.012857143,0.042857143,0.460383,positive
GeorgeStephanopoulos Gilbert: Graham 'bellicose and ignorant' on Iran.,6/21/09 16:00,0,0.0275,0,0,0,0,-0.0125,-0.01125,0.0375,-0.886361,negative
Jessica Gilbert 9am??? Is everything OK?,6/21/09 16:06,0.023571429,0,0,0,0,0,-0.171666667,-0.015,0.095,-0.233067,negative
Email patterns as predictor of organizational crisis:   (via Silona,6/23/09 18:21,0,0,0,0,0,0,0.006666667,0,0.028888889,-0.661625,negative
Top 500 Google Adwords for 2009 have been released... BPM is the ONLY tech word in the list.  Blog post to follow...,6/26/09 15:39,0.012222222,0,0,0,0,0,-0.076315789,0.037894737,0.067894737,0,neutral
Southwest airlines secret: no air conditioning.,6/27/09 0:42,0.021290323,0,0,0.010645161,0.032258065,0,-0.051052632,-0.016842105,0.048947368,0,neutral
"Middle of BF, Tennessee. Listening for banjos, sneakers on. Ready to run if necessary.",6/27/09 6:11,0.025384615,0,0,0,0,0,-0.062857143,-0.022857143,0.09,0.433318,positive
Another post.  Will wonders never cease?  What does Tata have in common with Toyota?  Read on...,6/28/09 22:04,0,0,0,0,0,0,-0.030625,-0.025625,0.0525,-0.389148,negative
Another post.  Will wonders never cease?  What does Tata have in common with Toyota?  Read on for BPM magic...,6/28/09 22:11,0,0,0,0,0,0,-0.016842105,-0.021578947,0.044210526,-0.0274604,negative
"#mcgoverntheory Check out this research on security, privacy in social networks.  Some interesting data...",6/28/09 22:15,0.045,0,0,0.015,0,0.015,-0.04,0.005714286,0.093571429,0.31857,positive
"Jessica Gilbert Congrats on 3 jobs!  Remember, it's better to burn out than fade away... (ie: no sympathy from dad)",6/29/09 0:00,0,0,0,0,0,0,-0.0385,-0.0185,0.0575,0.133259,positive
James McGovern in re BPO outsourcing model. Check out  #BPM,7/3/09 13:26,0,0,0,0.018333333,0,0,0.034,-0.016,0.023,0.430207,positive
"Jessica Gilbert Phil Gilbert, Jr. yes Jess, we know those coffee lids are dangerous. Should be OSHA-regulated!",7/3/09 17:42,0,0.0132,0.058823529,0.0132,0,0,-0.095882353,-0.047647059,0.015882353,-0.372215,negative
Landlubbers Phil & Lisa sailing in Narragansett Bay.  Hilarity ensues... Stay tuned.,7/4/09 17:49,0,0,0,0,0,0,0.010909091,0,0.016363636,0.331655,positive
"What does ""give me a bolin"" mean, anyway?  And what is a ""jib""?",7/4/09 17:56,0,0,0,0,0,0,-0.065384615,-0.003076923,0.038461538,-0.226538,negative
The reward for bringing boat and crew home safely,7/4/09 20:31,0,0,0,0,0,0,-0.012222222,0.01,0.073333333,0.57657,positive
"Fireworks over the ocean... Nothing better.  Missing LA tonight, but having fun with the Swamp Yankees.",7/5/09 0:53,0.0275,0.0275,0,0.01375,0,0,-0.0525,-0.0225,0.055625,0.00881249,positive
"Downtown Providence RI surprisingly ""happening"" on a Sunday night... cheers to the Ri-Ra for real Celtic muso's...",7/5/09 22:57,0.015714286,0,0,0,0,0,-0.006470588,0.026470588,0.056470588,0.830639,positive
"Talked w F50 CIO today: using #BPM to illuminate merger targets. Wall Street rewards stock, long term efficiencies reward company.",7/6/09 18:16,0.023571429,0,0,0,0,0,-0.0485,0.0015,0.0285,0.473138,positive
"#BPM replacing BPO?: ""Mr. Immelt said GE had 'outsourced too much' and would rebuild its own capabilities."" (WSJ) (via James McGovern",7/6/09 18:18,0,0,0,0,0,0,-0.09,0.017692308,0.091538462,0,neutral
Lombardi Bootcamp Lombardi History by Brandon Baxter is like learning evolution from the Scopes Monkey Trial transcript.,7/7/09 23:35,0.031428571,0,0,0.015714286,0,0.015714286,-0.047058824,-0.003529412,0.032352941,0.417249,positive
Gmail exits beta! GOOG finally stands behind their product. Will wonders never cease? #goog #onetrickpony,7/8/09 12:48,0,0,0,0.014347826,0,0,-0.072666667,-0.018,0.026666667,-0.101094,negative
"George Washington slept here... Father of BPM, too?  Juicy details at",7/8/09 23:11,0,0,0,0,0,0,-0.013636364,0,0.084545455,0.277604,positive
Aarrgghh... CNN search of 'tour de france' returned as top hit 'Exclusive: Tour Jackson's Home'.,7/12/09 12:15,0.034736842,0,0,0.017368421,0,0,-0.037333333,0.006,0.062666667,0.325327,positive
I agree w/IBM: their BPMS is worthless. Read all about it in this titillating post.  #BPM #DancingElephants,7/16/09 20:54,0.022,0.022,0,0,0.033333333,0,-0.119444444,-0.050555556,0.087222222,0.0797939,positive
"Businesses outsourced themselves to IT decades ago, so quit whining about India.  BPM and this blog can help.",7/17/09 16:10,0,0,0,0,0,0.012692308,-0.071666667,0.003888889,0.073888889,0.0409737,positive
#BPM or IBM?  fun read from Phil Gilbert on the subject of stack vendors   (via Scott Francis,7/23/09 15:44,0.015714286,0,0,0.015714286,0,0.015714286,-0.001176471,-0.017058824,0.031764706,0.484947,positive
"Interesting idea:""Fashion is a way of communicating an idea about some aspect of ourselves that we're still exploring"" -Elle (via Kate Gilbert",7/24/09 23:47,0.012222222,0,0,0.024444444,0,0.012222222,-0.073478261,-0.00826087,0.076086957,0.343789,positive
Dave Marquard Clearly your PANDEMIC! warnings unheeded.  Billions remain at risk!,7/25/09 15:21,0,0,0,0,0.043478261,0,-0.047272727,-0.009090909,0.045454545,-0.678584,negative
"Phil Gilbert, Jr. looks like the nuns got to Elwood!",7/25/09 22:53,0,0,0,0.01375,0,0.01375,0.014,0.009,0.032,0,neutral
Working out is hard to do... After a 1975 Armagmac that is...  We'll see how 6am looks in the morning...,7/28/09 1:19,0,0,0,0.047142857,0,0,-0.071,-0.018,0.0705,-0.614421,negative
MediaPost: Study: Who's On Which Social Nets  (PG: WW2 gen data is most interesting.),7/28/09 23:07,0.018333333,0,0,0,0,0,-0.07,0.006428571,0.041428571,0.647104,positive
"Acela ""Express""... Not so much... Got them ""one track disabled my train's sidetracked blues"".",7/29/09 18:35,0,0,0,0,0,0,-0.131428571,-0.012142857,0.065714286,-0.683092,negative
Lombardi Bootcamp I'm pretty sure it's GHD...,8/2/09 0:16,0.03,0,0,0,0.090909091,0.03,-0.207142857,-0.044285714,0.068571429,0.810058,positive
"Swine flew... It's official, Pigfest '09 postponed due to heat. Lisa puts foot down (read: says won't start bonfire as I sleep off hangover)",8/2/09 16:07,0,0,0,0,0,0,-0.108333333,-0.027916667,0.087083333,-0.440254,negative
Swine flew... New Pigfest '09 dates TBD... Watch this space.,8/2/09 16:08,0,0,0,0,0,0,-0.079,-0.001,0.09,-0.0657405,negative
Greenspan: 'We've already seen the bottom'  (via GeorgeStephanopoulos  PG: which means SHO EVERYTHING!!!,8/2/09 16:12,0.021290323,0,0,0.010645161,0.032258065,0,-0.051052632,-0.016842105,0.048947368,0,neutral
Fawlty Towers/The Germans.  Maybe the single episode of television ever.,8/2/09 18:07,0,0,0,0,0,0.017368421,0.018181818,0.007272727,0.030909091,-0.318718,negative
Er let's try that again.  Fawlty Towers / The Germans. The best single episode of television. Ever.,8/2/09 18:08,0.020625,0,0,0.0103125,0,0,-0.0825,0.0275,0.09,-0.00551735,negative
Jessica Gilbert I'll pay for your taxi home... Smart girl.,8/6/09 11:48,0.023571429,0,0,0,0,0,-0.212,-0.023,0.112,0.802181,positive
Blueprint is the iPhone of BPM (via Lombardi Bootcamp,8/6/09 17:42,0,0,0,0,0,0,0.023333333,0.01,0,0.76745,positive
Allen Toussaint - soundtrack for this Saturday night...,8/9/09 2:52,0,0,0,0,0,0,-0.05,-0.005714286,0.06,0.426433,positive
Jessica Gilbert You're welcome!,8/11/09 19:58,0.04125,0,0,0,0,0,-0.3175,-0.0275,0.175,0.835981,positive
